site,site_name,date,participation
11,East Garland,10/1/2020,4402
11,East Garland,11/1/2020,4375
11,East Garland,12/1/2020,4386
11,East Garland,1/1/2021,4401
11,East Garland,2/1/2021,4335
11,East Garland,3/1/2021,4377
11,East Garland,4/1/2021,4332
11,East Garland,5/1/2021,4338
11,East Garland,6/1/2021,4355
11,East Garland,7/1/2021,4326
11,East Garland,8/1/2021,4375
11,East Garland,9/1/2021,4443
11,East Garland,10/1/2021,4415
11,East Garland,11/1/2021,4407
17,Northwest Hwy,10/1/2017,3764
17,Northwest Hwy,11/1/2017,3719
17,Northwest Hwy,12/1/2017,3637
17,Northwest Hwy,1/1/2018,3574
17,Northwest Hwy,2/1/2018,3556
17,Northwest Hwy,3/1/2018,3566
17,Northwest Hwy,4/1/2018,3547
17,Northwest Hwy,5/1/2018,3539
17,Northwest Hwy,6/1/2018,3566
17,Northwest Hwy,7/1/2018,3444
17,Northwest Hwy,8/1/2018,3375
17,Northwest Hwy,9/1/2018,3244
17,Northwest Hwy,10/1/2018,3121
17,Northwest Hwy,11/1/2018,2985
17,Northwest Hwy,12/1/2018,2965
17,Northwest Hwy,1/1/2019,2907
17,Northwest Hwy,2/1/2019,2860
17,Northwest Hwy,3/1/2019,2919
17,Northwest Hwy,4/1/2019,2938
17,Northwest Hwy,5/1/2019,2949
17,Northwest Hwy,6/1/2019,2941
17,Northwest Hwy,7/1/2019,2945
17,Northwest Hwy,8/1/2019,2940
17,Northwest Hwy,9/1/2019,2926
17,Northwest Hwy,10/1/2019,2865
17,Northwest Hwy,11/1/2019,2783
17,Northwest Hwy,12/1/2019,2723
17,Northwest Hwy,1/1/2020,2852
17,Northwest Hwy,2/1/2020,2835
17,Northwest Hwy,3/1/2020,2820
17,Northwest Hwy,4/1/2020,2877
17,Northwest Hwy,5/1/2020,3063
17,Northwest Hwy,6/1/2020,3227
17,Northwest Hwy,7/1/2020,3143
17,Northwest Hwy,8/1/2020,3097
17,Northwest Hwy,9/1/2020,2919
17,Northwest Hwy,10/1/2020,2902
17,Northwest Hwy,11/1/2020,2827
17,Northwest Hwy,12/1/2020,2876
17,Northwest Hwy,1/1/2021,2967
17,Northwest Hwy,2/1/2021,3060
17,Northwest Hwy,3/1/2021,3269
17,Northwest Hwy,4/1/2021,3323
17,Northwest Hwy,5/1/2021,3310
17,Northwest Hwy,6/1/2021,3372
17,Northwest Hwy,7/1/2021,3358
17,Northwest Hwy,8/1/2021,3374
17,Northwest Hwy,9/1/2021,3435
17,Northwest Hwy,10/1/2021,3398
17,Northwest Hwy,11/1/2021,3414
24,North Dallas,10/1/2017,6057
24,North Dallas,11/1/2017,6004
24,North Dallas,12/1/2017,5867
24,North Dallas,1/1/2018,5880
24,North Dallas,2/1/2018,5797
