Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2017,9,30,3750,346,43,285,187,861,52,237,521,810,1316,2987,-259,42056.96,9/1/2017,Sep,LA 30,12/1/2017,FY17,76072.07833
2017,9,31,18900,1521,562,1125,790,3998,601,1070,2089,3760,7604,15362,-127,196633.6,9/1/2017,Sep,LA 31,12/1/2017,FY17,305018.3717
2017,9,33,48200,3161,965,2526,1841,8493,1000,2656,4391,8047,18668,35208,-209,450662.4,9/1/2017,Sep,LA 33,12/1/2017,FY17,641137.2283
2017,9,34,4450,392,128,147,323,990,142,143,765,1050,1484,3524,31,49617.92,9/1/2017,Sep,LA 34,12/1/2017,FY17,111698.925
2017,9,35,14500,745,277,906,524,2452,297,849,1320,2466,4222,9140,-41,108217.6,9/1/2017,Sep,LA 35,12/1/2017,FY17,192735.4
2017,9,36,9850,742,356,522,456,2076,370,447,1243,2060,3846,7982,-149,109832.32,9/1/2017,Sep,LA 36,12/1/2017,FY17,181492.5017
2017,9,37,5150,365,73,166,339,943,81,181,788,1050,1740,3733,-181,59728,9/1/2017,Sep,LA 37,12/1/2017,FY17,115057.1933
2017,9,38,5400,444,93,393,288,1218,97,319,699,1115,1950,4283,-158,60304.64,9/1/2017,Sep,LA 38,12/1/2017,FY17,102062.155
2017,9,39,29800,2708,641,2298,1331,6978,704,2159,3576,6439,13906,27323,-15,402194.56,9/1/2017,Sep,LA 39,12/1/2017,FY17,522137.72
2017,9,40,5100,365,61,268,287,981,71,238,708,1017,1620,3618,-320,50941.44,9/1/2017,Sep,LA 40,12/1/2017,FY17,103376.26
2017,9,41,49350,3506,753,3130,2407,9796,798,3041,5712,9551,19023,38370,-375,442022.4,9/1/2017,Sep,LA 41,12/1/2017,FY17,834018.64
2017,9,42,8600,473,227,610,218,1528,233,514,792,1539,2933,6000,-421,82560,9/1/2017,Sep,LA 42,12/1/2017,FY17,115641.24
2017,9,43,1500,99,19,45,58,221,10,63,188,261,539,1021,22,16989.44,9/1/2017,Sep,LA 43,12/1/2017,FY17,27450.19333
2017,9,44,2800,216,43,71,168,498,45,60,467,572,1348,2418,66,38688,9/1/2017,Sep,LA 44,12/1/2017,FY17,68187.44833
2017,9,46,7600,516,183,532,259,1490,190,456,767,1413,2222,5125,-261,70520,9/1/2017,Sep,LA 46,12/1/2017,FY17,111990.9483
