Date,Total_Participants,Total_Women,Total_Infants,Total_Children,Project,Year,Local_Agency,Month,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,MtM_Caseload_Difference,Gen_Admin_Money,Fiscal_Month,Time_Shift,Fiscal_Year,FFF_Infants_Est
2015-12-01,1901,482,463,956,28,2015,LA 28,12,2350,202,44,105,131,54,127,282,-39,25359.34,Dec,2016-03-01,FY16,41175.29
2015-12-01,14208,3726,3522,6960,29,2015,LA 29,12,15100,1149,336,1658,583,366,1612,1544,-152,212125.44,Dec,2016-03-01,FY16,225442.013333333
2015-12-01,3183,867,890,1426,30,2015,LA 30,12,3750,303,44,265,255,55,243,592,-54,44466.51,Dec,2016-03-01,FY16,86438.9066666667
2015-12-01,16462,4256,4108,8098,31,2015,LA 31,12,18900,1555,651,1098,952,696,1067,2345,-253,209067.4,Dec,2016-03-01,FY16,342397.358333333
2015-12-01,7752,2039,1930,3783,32,2015,LA 32,12,8350,742,208,633,456,229,605,1096,-133,118218,Dec,2016-03-01,FY16,160028.786666667
2015-12-01,38333,9426,9137,19770,33,2015,LA 33,12,48200,3350,1099,2705,2272,1172,2887,5078,-989,486829.1,Dec,2016-03-01,FY16,741447.243333333
2015-12-01,3734,1051,1103,1580,34,2015,LA 34,12,4450,396,143,160,352,157,158,788,-153,52163.98,Dec,2016-03-01,FY16,115057.193333333
2015-12-01,10263,2800,2788,4675,35,2015,LA 35,12,14500,887,343,966,604,366,946,1476,-68,120590.25,Dec,2016-03-01,FY16,215513.22
2015-12-01,8542,2208,2305,4029,36,2015,LA 36,12,9850,705,354,590,559,377,500,1428,-69,116683.72,Dec,2016-03-01,FY16,208504.66
2015-12-01,3874,1014,1152,1708,37,2015,LA 37,12,5150,367,82,146,419,83,128,941,-44,61519.12,Dec,2016-03-01,FY16,137396.978333333
2015-12-01,4905,1315,1248,2342,38,2015,LA 38,12,5400,425,98,509,283,109,384,755,-125,68522.85,Dec,2016-03-01,FY16,110238.808333333
2015-12-01,27111,6926,6681,13504,39,2015,LA 39,12,29800,2600,644,2057,1625,706,1890,4085,-395,396091.71,Dec,2016-03-01,FY16,596457.658333333
2015-12-01,4081,1172,1267,1642,40,2015,LA 40,12,5100,355,69,353,395,71,382,814,62,57011.57,Dec,2016-03-01,FY16,118853.496666667
2015-12-01,39945,10182,10376,19387,41,2015,LA 41,12,49350,3557,783,3072,2770,833,2985,6558,-1004,456571.35,Dec,2016-03-01,FY16,957544.51
2015-12-01,6738,1751,1758,3229,42,2015,LA 42,12,8600,553,313,539,346,337,528,893,51,92041.08,Dec,2016-03-01,FY16,130388.418333333
